Date,,Day of Week (Sunday = 0),Total Lines Changed,Files Changed,Insertions,Deletions,Difference,Lines Changed Percentile,Files Changed Percentile,Insertions Percentile,Deletions Percentile,ActivityLog Count,ActionLog Distinct User Count,EventLog Count,EventLog Distinct User Count
9/15/2011,67,4,3885,73,3153,732,2421,0.822,0.713,0.881,0.74,11215,1094,159452,385
9/16/2011,68,5,1487,52,358,1129,-771,0.607,0.575,0.39,0.801,7804,386,131036,297
9/17/2011,69,6,1604,56,1491,113,1378,0.62,0.607,0.729,0.297,2731,164,72028,122
9/18/2011,70,0,2631,80,950,1681,-731,0.748,0.748,0.645,0.841,3383,176,74201,121
9/19/2011,71,1,50,5,43,7,36,0.061,0.063,0.075,0.046,10238,506,167547,371
9/20/2011,72,2,3289,419,1406,1883,-477,0.797,0.924,0.717,0.858,9965,472,179058,359
9/21/2011,73,3,346,329,2069,205,1864,0.259,0.911,0.816,0.445,11900,536,178101,410
9/22/2011,74,4,1660,357,1447,2139,-692,0.63,0.917,0.721,0.873,13878,3525,160205,386
9/23/2011,75,5,1805,69,474,1331,-857,0.66,0.694,0.462,0.824,8361,969,139001,327
9/24/2011,76,6,733,19,704,29,675,0.445,0.21,0.552,0.124,3011,179,69963,130
9/25/2011,77,0,4239,378,3762,477,3285,0.833,0.921,0.905,0.643,2674,178,76259,133
9/26/2011,78,1,2615,330,316,2299,-1983,0.746,0.913,0.36,0.896,12307,549,174430,422
9/27/2011,79,2,4603,494,3899,704,3195,0.85,0.934,0.915,0.723,12000,491,174875,380
9/28/2011,80,3,3708,88,912,2796,-1884,0.818,0.772,0.622,0.917,11259,490,185288,363
9/29/2011,81,4,92,7,85,7,78,0.088,0.08,0.126,0.046,18324,3849,191888,371
9/30/2011,82,5,228,14,197,31,166,0.17,0.149,0.229,0.135,7529,629,137456,314
10/1/2011,83,6,3402,74,3357,45,3312,0.805,0.717,0.898,0.164,3821,174,85341,130
10/2/2011,84,0,4315,5,302,190,112,0.841,0.063,0.343,0.419,4225,175,104906,117
10/3/2011,85,1,256,115,1183,3426,-2243,0.191,0.827,0.685,0.932,10977,486,158495,365
10/4/2011,86,2,2297,64,1574,723,851,0.715,0.656,0.748,0.734,10199,482,169303,355
10/5/2011,87,3,103,8,62,41,21,0.099,0.103,0.099,0.154,9757,457,190504,335
10/6/2011,88,4,145,13,114,31,83,0.118,0.145,0.132,0.135,8210,437,160831,312
10/7/2011,89,5,10,2,7,3,4,0.023,0.018,0.035,0.023,8222,423,152258,327
10/8/2011,90,6,,,,,,,,,,4755,211,92907,147
10/9/2011,91,0,,,,,,,,,,4516,206,125551,145
10/10/2011,92,1,139,14,119,20,99,0.111,0.149,0.141,0.092,9494,475,188935,343
10/11/2011,93,2,1242,56,1104,138,966,0.55,0.607,0.67,0.345,11839,550,197806,407
10/12/2011,94,3,1097,102,4340,700,3640,0.514,0.797,0.932,0.719,20697,4149,207943,415
10/13/2011,95,4,437,125,687,4111,-3424,0.31,0.85,0.542,0.962,14713,591,203826,395
10/14/2011,96,5,172,8,163,9,154,0.126,0.103,0.191,0.056,13923,480,174181,338
10/15/2011,97,6,297,21,72,225,-153,0.227,0.227,0.113,0.466,4995,217,142696,136
10/16/2011,98,0,655,44,443,212,231,0.4,0.508,0.436,0.447,4563,209,155166,136
10/17/2011,99,1,343,30,769,61,708,0.255,0.345,0.565,0.2,14440,599,218822,404
10/18/2011,100,2,207,27,234,524,-290,0.145,0.314,0.267,0.658,15880,633,222957,415
10/19/2011,101,3,1346,61,848,498,350,0.573,0.641,0.594,0.649,18277,4160,214622,410
10/20/2011,102,4,2261,453,1454,807,647,0.71,0.928,0.725,0.753,14282,795,216416,391
10/21/2011,103,5,672,27,414,258,156,0.413,0.314,0.413,0.508,12971,608,178682,309
10/22/2011,104,6,127,2,120,7,113,0.105,0.018,0.143,0.046,3479,188,109245,116
10/23/2011,105,0,257,7,238,19,219,0.196,0.08,0.274,0.088,4182,212,144756,127
10/24/2011,106,1,1301,64,934,367,567,0.565,0.656,0.63,0.584,15833,604,231742,427
10/25/2011,107,2,1185,38,631,554,77,0.537,0.453,0.527,0.668,15024,574,193940,400
10/26/2011,108,3,1413,22,484,424,60,0.597,0.242,0.464,0.616,17808,4292,175143,402
10/27/2011,109,4,2992,51,893,148,745,0.78,0.569,0.618,0.369,14028,569,176970,388
10/28/2011,110,5,726,36,149,577,-428,0.438,0.413,0.172,0.683,11932,463,146032,325
10/29/2011,111,6,1872,76,689,1183,-494,0.668,0.729,0.546,0.81,5923,179,76797,121
10/30/2011,112,0,2095,80,1521,574,947,0.698,0.748,0.734,0.681,6193,249,103040,168
10/31/2011,113,1,3414,105,1226,2188,-962,0.812,0.805,0.691,0.879,14798,552,171142,374
11/1/2011,114,2,1404,46,570,837,-267,0.594,0.525,0.506,0.757,15077,508,177830,362
11/2/2011,115,3,4866,125,4536,326,4210,0.86,0.85,0.936,0.556,17730,4333,183330,431
11/3/2011,116,4,3402,367,3135,266,2869,0.805,0.919,0.879,0.514,15262,639,192575,420
11/4/2011,117,5,70,11,43,27,16,0.075,0.132,0.075,0.118,12005,520,155206,363
11/5/2011,118,6,71,6,63,8,55,0.078,0.071,0.101,0.052,4701,202,99862,134
11/6/2011,119,0,2020,480,1317,705,612,0.681,0.93,0.71,0.727,6002,255,106498,168
11/7/2011,120,1,854,53,469,383,86,0.472,0.586,0.457,0.599,14545,592,186890,418
11/8/2011,121,2,1030,56,894,416,478,0.499,0.607,0.62,0.609,14268,644,220027,432
11/9/2011,122,3,347,81,550,1140,-590,0.263,0.759,0.499,0.803,18578,4192,188945,421
11/10/2011,123,4,819,137,1888,652,1236,0.466,0.871,0.797,0.698,13738,596,163461,399
11/11/2011,124,5,767,50,343,424,-81,0.455,0.559,0.383,0.616,11236,470,127766,301
11/12/2011,125,6,47,3,43,4,39,0.059,0.042,0.075,0.029,4905,211,75965,136
11/13/2011,126,0,409,31,289,120,169,0.299,0.367,0.327,0.31,4903,253,98337,158
11/14/2011,127,1,539,35,272,73,199,0.354,0.407,0.314,0.225,15759,679,160965,465
11/15/2011,128,2,630,29,458,133,325,0.394,0.335,0.447,0.337,15908,647,165492,439
11/16/2011,129,3,809,38,584,462,122,0.464,0.453,0.51,0.639,20470,4391,166460,442
11/17/2011,130,4,555,37,434,121,313,0.36,0.438,0.432,0.312,15712,634,183243,444
11/18/2011,131,5,28,3,12,16,-4,0.044,0.042,0.046,0.073,12499,505,139531,356
11/19/2011,132,6,41,6,24,17,7,0.052,0.071,0.063,0.08,6110,234,75557,162
11/20/2011,133,0,59,7,30,29,1,0.067,0.08,0.069,0.124,7164,269,93822,178
11/21/2011,134,1,233,22,115,118,-3,0.175,0.242,0.135,0.305,15790,636,171476,436
11/22/2011,135,2,10060,55,9631,429,9202,0.976,0.603,0.987,0.62,16406,631,160625,428
11/23/2011,136,3,10061,46,510,9551,-9041,0.978,0.525,0.483,0.989,19579,4366,181590,395
11/24/2011,137,4,12371,145,11399,972,10427,0.987,0.877,0.995,0.78,11392,455,152644,286
11/25/2011,138,5,2285,99,462,1823,-1361,0.713,0.795,0.451,0.856,10237,399,149542,258
11/26/2011,139,6,,,,,,,,,,4792,210,95929,122
11/27/2011,140,0,581,13,204,377,-173,0.371,0.145,0.24,0.597,6891,241,105875,165
11/28/2011,141,1,3015,135,2213,802,1411,0.786,0.869,0.829,0.751,16584,630,172212,422
11/29/2011,142,2,4978,629,2118,2860,-742,0.864,0.949,0.824,0.919,18775,665,162248,450
11/30/2011,143,3,239,18,179,60,119,0.177,0.202,0.21,0.196,21736,4228,166794,456
12/1/2011,144,4,356,20,322,37,285,0.27,0.223,0.371,0.143,17169,769,159850,425
