title;num_dozens;price;was_sold;date;unit_price
6 Dozen Titleist  ProV 1 Golf Balls, Brand New in manufacturer's packaging;6;212;False;1900-09-23 15:05:00;35.3333333333
12 TITLEIST Golf Ball ProV1 V1  Golf Balls  BRAND NEW Dozen Low Numbers;1;34;True;1900-09-23 14:28:00;34
12 TITLEIST Golf Ball ProV1x V1x  Golf Balls  BRAND NEW Dozen LOW numbers;1;31.05;True;1900-09-23 14:26:00;31.05
Six Dozen Titleist  2011  PRO V1  Golf Balls  *NEW*  ;6;223.5;True;1900-09-23 14:00:00;37.25
Titleist Pro V1 Golf Balls Dozen Brand New Logo FREE SHIPPING!;1;39;False;1900-09-23 13:41:00;39
TWO(2) DOZEN - TITLEIST PROV1x - New-  Free shipping!!!!!;1;85;False;1900-09-23 13:33:00;85
4 DOZEN TITLEIST PROV1 GOLF BALLS, BRAND NEW ;4;135.95;True;1900-09-23 11:46:00;33.9875
Titleist Tour ProV1x golf balls 4 Dozen issue with Team Titleist 2012 model;4;172.5;True;1900-09-23 10:21:00;43.125
TITLEIST PRO V1x GOLF BALLS 1 DOZEN 12 BALLS 1,2,3,4;1;39.99;True;1900-09-23 07:38:00;39.99
2 Dozen NEW Titleist ProV1X golf balls ;2;90;False;1900-09-23 07:17:00;45
Titleist ProV1X golf balls - high numbers (5-6-7-8) 2 dozen NEW golf balls;2;90;False;1900-09-23 07:03:00;45
Titleist ProV1 golf balls - 2 dozen **NEW** ;2;90;False;1900-09-23 07:02:00;45
2 Dozen Titleist ProV1 golf balls *NEW*;2;90;False;1900-09-23 06:47:00;45
2 Dozen NEW Titleist ProV1X golf balls - high numbers (5-6-7-8);2;90;False;1900-09-23 06:46:00;45
2011 Titleist Pro V1x Golf Balls - New - 6 Dozen;6;208.5;True;1900-09-23 06:38:00;34.75
NEW 2012 TITLEIST PROV1 DOZEN GOLF BALLS;1;36;True;1900-09-23 06:24:00;36
TITLEIST PRO V1 PRACTICE---NEW IN BOX --2 DOZEN-- !!!!;2;45;True;1900-09-23 05:59:00;22.5
Titleist Pro V1 2 Dozen, New;2;64.03;True;1900-09-23 05:41:00;32.015
2 Dozen Titleist ProV1x Golf Balls;2;63;True;1900-09-23 03:04:00;31.5
TITLEIST PRO V1x GOLF BALLS 1 DOZEN 12 BALLS 1,2,3,4;1;39;True;1900-09-22 22:48:00;39
TITLEIST PRO V1x GOLF BALLS 1 DOZEN 12 BALLS 1,2,3,4;1;42.36;True;1900-09-22 22:47:00;42.36
 Titleist Pro V1 Golf Balls- Brand New 1 Dozen;1;36.95;True;1900-09-22 22:46:00;36.95
 Titleist Pro V1 Golf Balls- Brand New 1 Dozen;1;38;True;1900-09-22 22:43:00;38
Brand New 2 dozen Pro V1x golf balls;2;56;True;1900-09-22 21:43:00;28
3 Dozen Titleist ProV1X (2012);3;120;False;1900-09-22 20:28:00;40
1 Dozen Titleist Pro V1X 07 Mint Use/Ref Golf Balls;1;7.66;True;1900-09-22 19:55:00;7.66
 Titleist Pro V1 Golf Balls- Brand New 3 Dozen 36 balls ;3;96;True;1900-09-22 19:21:00;32
 Titleist Pro V1 1 Dozen Golf Balls- Brand New numbers 5,6,7,8;1;31;True;1900-09-22 19:17:00;31
 Titleist Pro V1 1 Dozen Golf Balls- Brand New numbers 5,6,7,8;1;33;True;1900-09-22 19:11:00;33
TITLEIST PRO V1x GOLF BALLS 1 DOZEN 12 BALLS 5-6-7-8-;1;33;True;1900-09-22 18:42:00;33
New 2010 Titleist Pro V1- 2 dozen;2;25;False;1900-09-22 17:10:00;12.5
Titleist Pro V1 5 dozen logo balls New in box ;5;163.5;True;1900-09-22 17:06:00;32.7
NEW Titleist Pro V1 LOW NUMBER 1 Dozen Golf Balls;1;39;True;1900-09-22 16:05:00;39
Titleist Pro V1x golf balls ** 2 dozen**   Brand new in Box Numbers 1-4;2;75.51;True;1900-09-22 15:46:00;37.755
